strongs	word	brief_definition	full_definition
G5005	ταλαίπωρος, ον	wretched, afflicted, miserable	wretched, afflicted, miserable.
G5006	ταλαντιαῖος, αία, αῖον	a talent in weight	a talent in weight.
G5007	τάλαντον, ου, τό	a talent of silver or gold	a talent of silver or gold.
G5008	ταλιθά	little girl	(Aramaic), girl, little girl.
G5009	ταμεῖον, ου, τό	a secret chamber	a store-chamber, secret chamber, closet; a granary, barn.
G5010	τάξις, εως, ἡ	order, position, rank	order, (a) regular arrangement, (b) appointed succession, (c) position, rank.
G5011	ταπεινός, ή, όν	humble, lowly	humble, lowly, in position or spirit (in a good sense).
G5012	ταπεινοφροσύνη, ης, ἡ	humility	humility, lowliness of mind, modesty.
G5013	ταπεινόω	I humble, humiliate	I make or bring low, humble, humiliate; pass: I am humbled.
G5014	ταπείνωσις, εως, ἡ	abasement, low condition	abasement (in spirit), low condition (in circumstances).
G5015	ταράσσω	I agitate, stir up, trouble	I disturb, agitate, stir up, trouble.
G5016	ταραχή, ῆς, ἡ	a disturbance, tumult, sedition	a disturbance, tumult, sedition, trouble.
G5017	τάραχος, ου, ὁ	a disturbance, commotion	a disturbance, commotion, trouble.
G5018	Ταρσεύς, έως, ὁ	belonging to Tarsus	belonging to Tarsus, a Tarsian.
G5019	Ταρσός, οῦ, ἡ	Tarsus	Tarsus, the capital of the Roman province Cilicia.
G5020	ταρταρόω	I thrust down to Tartarus	I thrust down to Tartarus or Gehenna.
G5021	τάσσω	I assign, arrange	(a) I assign, arrange, (b) I determine; mid: I appoint.
G5022	ταῦρος, ου, ὁ	a bull, an ox	a bull, an ox.
G5027	ταφή, ῆς, ἡ	a burial	a burial, burial place.
G5028	τάφος, ου, ὁ	a tomb, burial-place	a burial-place, sepulcher, tomb, grave.
G5029	τάχα	quickly, perhaps	quickly, presently, perhaps.
G5030	ταχέως	soon, quickly, hastily	soon, quickly, hastily.
G5031	ταχινός, ή, όν	swift, quick	swift, quick, impending.
G5032	τάχιον	more swiftly	more swiftly, more quickly.
G5033	τάχιστα	most swiftly	most swiftly, most quickly, as quickly as possible.
G5034	τάχος, ους, τό	quickness, speed	quickness, speed; hastily, immediately.
G5035	ταχύ	quickly, speedily	quickly, speedily.
G5036	ταχύς, εῖα, ύ	quick, swift	quick, swift, speedy, ready, prompt.
G5037	τέ	and, both	and, both.
G5038	τεῖχος, ους, τό	a wall	a wall, especially of a city.
G5039	τεκμήριον, ου, τό	a sign, certain proof	a sign, certain proof.
G5040	τεκνίον, ου, τό	a little child	a little child.
G5041	τεκνογονέω	I bear children	I bear children, beget, rear a family.
G5042	τεκνογονία, ας, ἡ	child bearing	child bearing, the rearing of a family.
