strongs	word	transliteration	pronunciation	part_of_speech	language	derivation	definition	kjv_usage
H4007	מַבָּט	mabbâṭ	mab-bawt'	n-m	heb	or מֶבָּט; from 5027;	something expected, i.e. (abstractly) expectation	expectation.
H4008	מִבְטָא	mibṭâʼ	mib-taw'	n-m	heb	from 981;	a rash utterance (hasty vow)	(that which...) uttered (out of).
H4009	מִבְטָח	mibṭâch	mib-tawkh'	n-m	heb	from 982;	properly, a refuge, i.e. (objective) security, or (subjective) assurance	confidence, hope, sure, trust.
H4010	מַבְלִיגִית	mablîygîyth	mab-leeg-eeth'	n-f	heb	from 1082;	desistance (or rather desolation)	comfort self.
H4011	מִבְנֶה	mibneh	mib-neh'	n-m	heb	from 1129;	a building	frame.
H4012	מְבֻנַּי	Mᵉbunnay	meb-oon-hah'-ee	n-pr-m	x-pn	from 1129; built up;	Mebunnai, an Israelite	Mebunnai.
H4013	מִבְצָר	mibtsâr	mib-tsawr'	n-m	heb	also (in plural) feminine (Daniel 11:l5) מִבְצָרָה; from 1219;	a fortification, castle, or fortified city; figuratively, a defender	(de-, most) fenced, fortress, (most) strong (hold).
H4014	מִבְצָר	Mibtsâr	mib-tsawr'	n-pr-m	x-pn	the same as 4013;	Mibtsar, an Idumaean	Mibzar.
H4015	מִבְרָח	mibrâch	mib-rawkh'	n-m	heb	from 1272;	a refugee	fugitive.
H4016	מָבֻשׁ	mâbush	maw-boosh'	n-m	heb	from 954;	(plural) the (male) pudenda	secrets.
H4017	מִבְשָׂם	Mibsâm	mib-sawm'	n-pr-m	x-pn	from the same as 1314; fragrant;	Mibsam, the name of an Ishmaelite and of an Israelite	Mibsam.
H4018	מְבַשְּׁלָה	mᵉbashshᵉlâh	meb-ash-shel-aw'	n-f	heb	from 1310;	a cooking hearth	boiling-place.
H4019	מַגְבִּישׁ	Magbîysh	mag-beesh'	n-pr-m	x-pn	from the same as 1378; stiffening;	Magbish, an Israelite, or a place in Palestine	Magbish.
H4020	מִגְבָּלָה	migbâlâh	mig-baw-law'	n-f	heb	from 1379;	a border	end.
H4021	מִגְבָּעָה	migbâʻâh	mig-baw-aw'	n-f	heb	from the same as 1389;	a cap (as hemispherical)	bonnet.
